direction,speed,created_at
270,8,2024-11-15 16:07:01 UTC
247,10,2024-11-15 16:07:07 UTC
180,9,2024-11-15 16:07:14 UTC
157,6,2024-11-15 16:07:20 UTC
135,4,2024-11-15 16:07:26 UTC
67,3,2024-11-15 16:07:32 UTC
157,4,2024-11-15 16:07:38 UTC
202,4,2024-11-15 16:07:45 UTC
202,6,2024-11-15 16:07:51 UTC
157,4,2024-11-15 16:07:58 UTC
202,6,2024-11-15 16:08:04 UTC
247,8,2024-11-15 16:08:10 UTC
157,7,2024-11-15 16:08:16 UTC
157,6,2024-11-15 16:08:23 UTC
202,7,2024-11-15 16:08:29 UTC
157,6,2024-11-15 16:08:35 UTC
112,6,2024-11-15 16:08:41 UTC
247,4,2024-11-15 16:08:48 UTC
202,4,2024-11-15 16:08:54 UTC
180,4,2024-11-15 16:09:02 UTC
202,3,2024-11-15 16:09:08 UTC
157,3,2024-11-15 16:09:13 UTC
247,6,2024-11-15 16:09:19 UTC
202,8,2024-11-15 16:09:26 UTC
247,7,2024-11-15 16:09:32 UTC
202,9,2024-11-15 16:09:38 UTC
202,6,2024-11-15 16:09:44 UTC
157,6,2024-11-15 16:09:51 UTC
202,4,2024-11-15 16:09:57 UTC
202,9,2024-11-15 16:10:03 UTC
202,4,2024-11-15 16:10:10 UTC
202,2,2024-11-15 16:10:16 UTC
202,2,2024-11-15 16:10:22 UTC
157,9,2024-11-15 16:10:28 UTC
22,9,2024-11-15 16:10:34 UTC
202,12,2024-11-15 16:10:41 UTC
202,8,2024-11-15 16:10:47 UTC
157,8,2024-11-15 16:10:53 UTC
202,6,2024-11-15 16:11:00 UTC
202,3,2024-11-15 16:11:06 UTC
157,2,2024-11-15 16:11:12 UTC
247,4,2024-11-15 16:11:18 UTC
157,8,2024-11-15 16:11:25 UTC
157,4,2024-11-15 16:11:31 UTC
157,4,2024-11-15 16:11:37 UTC
157,4,2024-11-15 16:11:43 UTC
157,4,2024-11-15 16:11:50 UTC
247,6,2024-11-15 16:11:56 UTC
292,4,2024-11-15 16:12:03 UTC
270,4,2024-11-15 16:12:09 UTC
202,4,2024-11-15 16:12:15 UTC
157,4,2024-11-15 16:12:21 UTC
202,6,2024-11-15 16:12:28 UTC
202,6,2024-11-15 16:12:34 UTC
22,3,2024-11-15 16:12:40 UTC
270,1,2024-11-15 16:12:46 UTC
202,2,2024-11-15 16:12:53 UTC
202,3,2024-11-15 16:12:59 UTC
180,6,2024-11-15 16:13:05 UTC
22,4,2024-11-15 16:13:12 UTC
202,7,2024-11-15 16:13:18 UTC
247,4,2024-11-15 16:13:24 UTC
202,4,2024-11-15 16:13:30 UTC
202,6,2024-11-15 16:13:37 UTC
202,7,2024-11-15 16:13:43 UTC
225,4,2024-11-15 16:13:49 UTC
247,2,2024-11-15 16:13:55 UTC
157,1,2024-11-15 16:14:02 UTC
180,3,2024-11-15 16:14:09 UTC
157,2,2024-11-15 16:14:14 UTC
270,4,2024-11-15 16:14:21 UTC
202,2,2024-11-15 16:14:27 UTC
157,3,2024-11-15 16:14:33 UTC
157,4,2024-11-15 16:14:40 UTC
202,6,2024-11-15 16:14:46 UTC
202,3,2024-11-15 16:14:52 UTC
0,3,2024-11-15 16:14:58 UTC
0,2,2024-11-15 16:15:05 UTC
202,1,2024-11-15 16:15:11 UTC
247,4,2024-11-15 16:15:17 UTC
247,4,2024-11-15 16:15:23 UTC
180,7,2024-11-15 16:15:30 UTC
202,7,2024-11-15 16:15:36 UTC
202,3,2024-11-15 16:15:42 UTC
22,2,2024-11-15 16:15:48 UTC
157,2,2024-11-15 16:15:55 UTC
247,3,2024-11-15 16:16:02 UTC
247,3,2024-11-15 16:16:08 UTC
180,3,2024-11-15 16:16:14 UTC
202,4,2024-11-15 16:16:20 UTC
67,7,2024-11-15 16:16:26 UTC
270,4,2024-11-15 16:16:32 UTC
157,4,2024-11-15 16:16:39 UTC
157,6,2024-11-15 16:16:45 UTC
157,8,2024-11-15 16:16:51 UTC
157,7,2024-11-15 16:16:57 UTC
180,4,2024-11-15 16:17:04 UTC
157,4,2024-11-15 16:17:10 UTC
157,4,2024-11-15 16:17:17 UTC
157,2,2024-11-15 16:17:23 UTC
247,2,2024-11-15 16:17:29 UTC
247,1,2024-11-15 16:17:35 UTC
202,2,2024-11-15 16:17:42 UTC
202,4,2024-11-15 16:17:48 UTC
202,3,2024-11-15 16:17:54 UTC
202,2,2024-11-15 16:18:00 UTC
202,3,2024-11-15 16:18:07 UTC
202,3,2024-11-15 16:18:13 UTC
270,3,2024-11-15 16:18:19 UTC
67,3,2024-11-15 16:18:26 UTC
157,6,2024-11-15 16:18:32 UTC
337,3,2024-11-15 16:18:38 UTC
180,3,2024-11-15 16:18:44 UTC
180,4,2024-11-15 16:18:51 UTC
22,3,2024-11-15 16:18:57 UTC
202,2,2024-11-15 16:19:03 UTC
67,3,2024-11-15 16:19:09 UTC
202,3,2024-11-15 16:19:16 UTC
180,7,2024-11-15 16:19:23 UTC
157,4,2024-11-15 16:19:29 UTC
202,4,2024-11-15 16:19:35 UTC
292,3,2024-11-15 16:19:41 UTC
0,2,2024-11-15 16:19:48 UTC
202,3,2024-11-15 16:19:54 UTC
180,4,2024-11-15 16:20:00 UTC
202,6,2024-11-15 16:20:06 UTC
202,7,2024-11-15 16:20:13 UTC
202,4,2024-11-15 16:20:19 UTC
202,4,2024-11-15 16:20:25 UTC
270,2,2024-11-15 16:20:31 UTC
270,3,2024-11-15 16:20:38 UTC
90,3,2024-11-15 16:20:44 UTC
180,3,2024-11-15 16:20:50 UTC
135,4,2024-11-15 16:20:57 UTC
202,6,2024-11-15 16:21:03 UTC
202,7,2024-11-15 16:21:09 UTC
202,7,2024-11-15 16:21:15 UTC
247,4,2024-11-15 16:21:22 UTC
157,2,2024-11-15 16:21:28 UTC
202,3,2024-11-15 16:21:35 UTC
202,2,2024-11-15 16:21:41 UTC
157,6,2024-11-15 16:21:47 UTC
157,7,2024-11-15 16:21:53 UTC
157,8,2024-11-15 16:22:00 UTC
202,4,2024-11-15 16:22:06 UTC
270,3,2024-11-15 16:22:12 UTC
135,4,2024-11-15 16:22:18 UTC
247,4,2024-11-15 16:22:25 UTC
202,6,2024-11-15 16:22:31 UTC
157,3,2024-11-15 16:22:38 UTC
112,2,2024-11-15 16:22:44 UTC
270,3,2024-11-15 16:22:50 UTC
157,6,2024-11-15 16:22:56 UTC
247,3,2024-11-15 16:23:03 UTC
202,3,2024-11-15 16:23:09 UTC
247,1,2024-11-15 16:23:15 UTC
202,2,2024-11-15 16:23:21 UTC
247,2,2024-11-15 16:23:28 UTC
202,4,2024-11-15 16:23:34 UTC
157,7,2024-11-15 16:23:40 UTC
202,8,2024-11-15 16:23:47 UTC
22,3,2024-11-15 16:23:53 UTC
67,4,2024-11-15 16:23:59 UTC
202,7,2024-11-15 16:24:05 UTC
202,4,2024-11-15 16:24:12 UTC
247,3,2024-11-15 16:24:18 UTC
270,2,2024-11-15 16:24:24 UTC
157,2,2024-11-15 16:24:31 UTC
247,4,2024-11-15 16:24:37 UTC
225,3,2024-11-15 16:24:43 UTC
270,4,2024-11-15 16:24:49 UTC
180,9,2024-11-15 16:24:55 UTC
157,4,2024-11-15 16:25:02 UTC
202,3,2024-11-15 16:25:08 UTC
22,3,2024-11-15 16:25:14 UTC
157,7,2024-11-15 16:25:20 UTC
157,7,2024-11-15 16:25:27 UTC
202,8,2024-11-15 16:25:33 UTC
270,3,2024-11-15 16:25:39 UTC
337,1,2024-11-15 16:25:46 UTC
202,2,2024-11-15 16:25:52 UTC
157,6,2024-11-15 16:25:58 UTC
202,4,2024-11-15 16:26:04 UTC
202,6,2024-11-15 16:26:11 UTC
247,7,2024-11-15 16:26:17 UTC
247,6,2024-11-15 16:26:23 UTC
157,4,2024-11-15 16:26:29 UTC
180,10,2024-11-15 16:26:36 UTC
202,8,2024-11-15 16:26:42 UTC
22,7,2024-11-15 16:26:48 UTC
202,4,2024-11-15 16:26:55 UTC
247,2,2024-11-15 16:27:01 UTC
247,3,2024-11-15 16:27:07 UTC
157,6,2024-11-15 16:27:13 UTC
157,4,2024-11-15 16:27:20 UTC
157,4,2024-11-15 16:27:26 UTC
337,2,2024-11-15 16:27:32 UTC
270,2,2024-11-15 16:27:39 UTC
202,3,2024-11-15 16:27:45 UTC
247,2,2024-11-15 16:27:52 UTC
202,4,2024-11-15 16:27:58 UTC
202,4,2024-11-15 16:28:04 UTC
270,2,2024-11-15 16:28:10 UTC
202,2,2024-11-15 16:28:16 UTC
225,3,2024-11-15 16:28:23 UTC
157,6,2024-11-15 16:28:29 UTC
247,4,2024-11-15 16:28:35 UTC
157,3,2024-11-15 16:28:42 UTC
157,4,2024-11-15 16:28:48 UTC
202,3,2024-11-15 16:28:55 UTC
202,4,2024-11-15 16:29:01 UTC
22,1,2024-11-15 16:29:07 UTC
157,4,2024-11-15 16:29:13 UTC
157,4,2024-11-15 16:29:20 UTC
202,7,2024-11-15 16:29:26 UTC
157,6,2024-11-15 16:29:32 UTC
157,3,2024-11-15 16:29:38 UTC
247,2,2024-11-15 16:29:47 UTC
247,2,2024-11-15 16:29:51 UTC
135,2,2024-11-15 16:29:58 UTC
270,3,2024-11-15 16:30:04 UTC
202,6,2024-11-15 16:30:10 UTC
157,12,2024-11-15 16:30:16 UTC
202,7,2024-11-15 16:30:23 UTC
202,10,2024-11-15 16:30:29 UTC
247,7,2024-11-15 16:30:35 UTC
202,6,2024-11-15 16:30:41 UTC
247,6,2024-11-15 16:30:48 UTC
247,4,2024-11-15 16:30:54 UTC
292,3,2024-11-15 16:31:00 UTC
202,6,2024-11-15 16:31:07 UTC
157,8,2024-11-15 16:31:13 UTC
180,6,2024-11-15 16:31:21 UTC
157,6,2024-11-15 16:31:25 UTC
225,4,2024-11-15 16:31:31 UTC
202,4,2024-11-15 16:31:38 UTC
180,4,2024-11-15 16:31:44 UTC
247,8,2024-11-15 16:31:51 UTC
202,6,2024-11-15 16:31:57 UTC
247,4,2024-11-15 16:32:03 UTC
112,3,2024-11-15 16:32:09 UTC
202,7,2024-11-15 16:32:16 UTC
180,9,2024-11-15 16:32:22 UTC
157,4,2024-11-15 16:32:28 UTC
247,7,2024-11-15 16:32:34 UTC
202,4,2024-11-15 16:32:41 UTC
202,7,2024-11-15 16:32:47 UTC
157,9,2024-11-15 16:32:54 UTC
247,7,2024-11-15 16:33:00 UTC
202,7,2024-11-15 16:33:06 UTC
180,6,2024-11-15 16:33:12 UTC
202,4,2024-11-15 16:33:19 UTC
157,6,2024-11-15 16:33:25 UTC
157,3,2024-11-15 16:33:31 UTC
67,4,2024-11-15 16:33:37 UTC
202,4,2024-11-15 16:33:44 UTC
202,3,2024-11-15 16:33:50 UTC
180,2,2024-11-15 16:33:57 UTC
270,3,2024-11-15 16:34:05 UTC
157,2,2024-11-15 16:34:09 UTC
337,3,2024-11-15 16:34:15 UTC
270,2,2024-11-15 16:34:22 UTC
67,3,2024-11-15 16:34:28 UTC
157,3,2024-11-15 16:34:34 UTC
157,8,2024-11-15 16:34:40 UTC
202,6,2024-11-15 16:34:47 UTC
247,7,2024-11-15 16:34:53 UTC
270,4,2024-11-15 16:35:00 UTC
202,8,2024-11-15 16:35:06 UTC
202,7,2024-11-15 16:35:12 UTC
202,7,2024-11-15 16:35:20 UTC
202,3,2024-11-15 16:35:25 UTC
157,4,2024-11-15 16:35:31 UTC
157,6,2024-11-15 16:35:37 UTC
202,4,2024-11-15 16:35:43 UTC
202,4,2024-11-15 16:35:50 UTC
202,2,2024-11-15 16:35:56 UTC
202,3,2024-11-15 16:36:03 UTC
202,1,2024-11-15 16:36:09 UTC
270,1,2024-11-15 16:36:15 UTC
270,2,2024-11-15 16:36:21 UTC
202,3,2024-11-15 16:36:28 UTC
202,3,2024-11-15 16:36:34 UTC
135,4,2024-11-15 16:36:40 UTC
202,3,2024-11-15 16:36:46 UTC
202,3,2024-11-15 16:36:53 UTC
247,6,2024-11-15 16:36:59 UTC
247,3,2024-11-15 16:37:05 UTC
202,4,2024-11-15 16:37:12 UTC
157,6,2024-11-15 16:37:18 UTC
180,4,2024-11-15 16:37:24 UTC
247,2,2024-11-15 16:37:30 UTC
247,1,2024-11-15 16:37:37 UTC
202,3,2024-11-15 16:37:43 UTC
202,1,2024-11-15 16:37:49 UTC
202,2,2024-11-15 16:37:55 UTC
202,2,2024-11-15 16:38:02 UTC
157,4,2024-11-15 16:38:08 UTC
180,7,2024-11-15 16:38:15 UTC
202,6,2024-11-15 16:38:21 UTC
157,6,2024-11-15 16:38:27 UTC
112,3,2024-11-15 16:38:33 UTC
270,6,2024-11-15 16:38:40 UTC
247,3,2024-11-15 16:38:46 UTC
202,2,2024-11-15 16:38:52 UTC
202,6,2024-11-15 16:38:59 UTC
22,3,2024-11-15 16:39:05 UTC
157,3,2024-11-15 16:39:11 UTC
180,4,2024-11-15 16:39:17 UTC
157,7,2024-11-15 16:39:24 UTC
202,8,2024-11-15 16:39:30 UTC
202,4,2024-11-15 16:39:36 UTC
247,3,2024-11-15 16:39:42 UTC
157,8,2024-11-15 16:39:49 UTC
247,10,2024-11-15 16:39:55 UTC
202,4,2024-11-15 16:40:01 UTC
157,3,2024-11-15 16:40:07 UTC
202,8,2024-11-15 16:40:14 UTC
202,8,2024-11-15 16:40:20 UTC
247,7,2024-11-15 16:40:27 UTC
202,6,2024-11-15 16:40:33 UTC
157,4,2024-11-15 16:40:39 UTC
337,1,2024-11-15 16:40:45 UTC
135,2,2024-11-15 16:40:52 UTC
270,4,2024-11-15 16:40:58 UTC
202,4,2024-11-15 16:41:04 UTC
247,2,2024-11-15 16:41:10 UTC
157,4,2024-11-15 16:41:17 UTC
157,8,2024-11-15 16:41:23 UTC
202,4,2024-11-15 16:41:29 UTC
202,7,2024-11-15 16:41:36 UTC
202,3,2024-11-15 16:41:42 UTC
157,6,2024-11-15 16:41:48 UTC
202,3,2024-11-15 16:41:54 UTC
247,3,2024-11-15 16:42:01 UTC
270,2,2024-11-15 16:42:07 UTC
270,2,2024-11-15 16:42:13 UTC
270,1,2024-11-15 16:42:20 UTC
157,2,2024-11-15 16:42:26 UTC
292,2,2024-11-15 16:42:32 UTC
202,6,2024-11-15 16:42:39 UTC
157,10,2024-11-15 16:42:45 UTC
247,6,2024-11-15 16:42:51 UTC
247,3,2024-11-15 16:42:57 UTC
202,4,2024-11-15 16:43:04 UTC
202,6,2024-11-15 16:43:10 UTC
247,4,2024-11-15 16:43:16 UTC
202,10,2024-11-15 16:43:23 UTC
225,9,2024-11-15 16:43:29 UTC
202,8,2024-11-15 16:43:35 UTC
202,3,2024-11-15 16:43:42 UTC
202,2,2024-11-15 16:43:48 UTC
247,4,2024-11-15 16:43:54 UTC
